product_id,product_name,price,category
90,iPhone 16 Pro 256GB,4465,סלולר
91,סוני WH-1000XM5,1019,אוזניות
92,Xiaomi 14T Pro 512 GB 12GB RAM,1959,סלולר
93,LG F1209SMS 9KG Front Load,2380,מכונות כביסה
94,Samsung Galaxy S24 Ultra 256GB,3854,סלולר
95,טלוויזיה סוני 65 אינץ Bravia X90L,3942,טלוויזיות
96,אייפד אייר 11 אינץ' M2 128 ג'יגה,2469,טאבלטים
97,"Sony 65"" Bravia X90L",4540,טלוויזיות
98,Pixel 9 256 GB 8GB RAM,2294,סלולר
99,ASUS VivoBook X1504ZA i5 512GB,2216,מחשבים ניידים
100,"Samsung 55"" Crystal UHD 4K",2418,טלוויזיות
101,Samsung Buds 3 Pro,675,אוזניות
102,לנובו אידיאפד סלים 3 15.6 אינץ i5,2434,מחשבים ניידים
103,שיאומי 14T Pro 512GB,2020,סלולר
104,לנובו IdeaPad Slim 3 15.6 אינץ',2994,מחשבים ניידים
105,Sony WH-1000XM4,742,אוזניות
106,"מכונת כביסה LG 9 ק""ג פתח קדמי",2535,מכונות כביסה
107,Galaxy Tab S9 FE 128 GB Wi-Fi,1419,טאבלטים
108,"Apple MacBook Air 13"" M3 512GB",5501,מחשבים ניידים
109,אפל אייפד אייר 11 M2 128GB,2774,טאבלטים
110,סמסונג גלקסי S24 אולטרה 256GB,3314,סלולר
111,Sony WH1000XM4,925,אוזניות
112,שיאומי 14T פרו 512GB,2084,סלולר
113,Sony 1000XM5,1094,אוזניות
114,"Hisense 50A6K 50"" 4K",1246,טלוויזיות
115,מכונת כביסה בוש 9 קילו סדרה 8,2942,מכונות כביסה
116,"LG OLED65C4 65""",5598,טלוויזיות
117,LG 65 אינץ' OLED C4,4755,טלוויזיות
118,Samsung Galaxy S25 256GB,2404,סלולר
119,Apple AirPods 4,571,אוזניות
120,טלוויזיה LG OLED C4 55 אינץ,4787,טלוויזיות
121,"Apple MacBook Air 13"" M3 256GB",4747,מחשבים ניידים
122,Dell XPS 13 Plus Intel Core i7 13th Gen,7148,מחשבים ניידים
123,Apple iPhone 16 Pro 256GB,4374,סלולר
124,סמסונג גלקסי באדס 3 פרו,637,אוזניות
125,APPLE iPhone 16 Pro Max 256GB,4227,סלולר
126,Galaxy S25 FE 256GB,1847,סלולר
127,LG מכונת כביסה 9 קילו,2017,מכונות כביסה
128,Samsung Galaxy S25 FE 256GB,1816,סלולר
129,Apple iPhone 16 128GB,2958,סלולר
130,Samsung Tab S9 FE 128GB,1659,טאבלטים
131,Google Pixel 9 256GB,2544,סלולר
